moniker,centralised_exchange_wallet,remarks,val_address,acc_address,prop_69_vote,tokens,shares,ts_ratio,height
Mythos,,,cosmosvaloper1w0330zv7quttes76vmdhda3tnz045uqs37wfx0,cosmos1w0330zv7quttes76vmdhda3tnz045uqs526u2u,VOTE_NIL,248429367114,248429367114,1,10562840
Smart Stake,,,cosmosvaloper18extdhzzl5c8tr6453e5hzaj3exrdlea90fj3y,cosmos18extdhzzl5c8tr6453e5hzaj3exrdleaqma8ah,VOTE_OPTION_ABSTAIN,248411426931,248411426931,1,10562840
BlockMatrix 🚀,,,cosmosvaloper1n5pu2rtz4e2skaeatcmlexza7kheedzh8a2680,cosmos1n5pu2rtz4e2skaeatcmlexza7kheedzhzf70tu,VOTE_NIL,234828258711,234875231295,0.9998000105,10562840
firstblock,,,cosmosvaloper1s65zmn32zugl57ysj47s7vmfcek0rtd7he7wde,cosmos1s65zmn32zugl57ysj47s7vmfcek0rtd7jd2mp2,VOTE_NIL,214271385666,214378553210,0.9995001014,10562840
AIR DROP STATION,,,cosmosvaloper1485u80fdxjan4sd3esrvyw6cyurpvddvzuh48y,cosmos1485u80fdxjan4sd3esrvyw6cyurpvddv8grqth,VOTE_OPTION_NO,214168233391,214168233391,1,10562840
CRAFT Airdrop Bonus | Lavender.Five Nodes 🐝,,,cosmosvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zfd832j,cosmos140l6y2gp3gxvay6qtn70re7z2s0gn57zvenyxp,VOTE_OPTION_YES,208332319768,208353154790,0.9999000014,10562840
Citizen Cosmos,,,cosmosvaloper1e859xaue4k2jzqw20cv6l7p3tmc378pc3k8g2u,cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,VOTE_OPTION_NO,203775547244,203816308312,0.9998000108,10562840
🐡grant.fish,,100% commission http://grant.fish/,cosmosvaloper1xym2qygmr9vanpa0m7ndk3n0qxgey3ffzcyd5c,cosmos1xym2qygmr9vanpa0m7ndk3n0qxgey3ff8vscct,VOTE_NIL,199872319684,199872319684,1,10562840
Wetez,,,cosmosvaloper1s05va5d09xlq3et8mapsesqh6r5lqy7mkhwshm,cosmos1s05va5d09xlq3et8mapsesqh6r5lqy7mnr69mg,VOTE_OPTION_YES,190358826148,190358826148,1,10562840
0% Fee to 2023 | Stakewolle.com,,,cosmosvaloper1gf4wlkutql95j7wwsxz490s6fahlvk2s9xpwax,cosmos1gf4wlkutql95j7wwsxz490s6fahlvk2sqj4m34,VOTE_OPTION_NO,188432345411,188432345411,1,10562840
kochacolaj,,100% commission,cosmosvaloper1emaa7mwgpnpmc7yptm728ytp9quamsvu837nc0,cosmos1emaa7mwgpnpmc7yptm728ytp9quamsvuz92x5u,VOTE_NIL,184915048328,184915048328,1,10562840
Rockaway Blockchain Fund,,,cosmosvaloper1thl5syhmscgnj7whdyrydw3w6vy80044hjpnxh,cosmos1thl5syhmscgnj7whdyrydw3w6vy80044jx4x2y,VOTE_OPTION_NO,184517146493,184517146493,1,10562840
Genesis Lab,,,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,VOTE_NIL,181502613416,181502613416,1,10562840
Blockapsis,,,cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,cosmos1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhv43wpe,VOTE_NIL,176767228378,176767228378,1,10562840
Stake Capital,,JAILED,cosmosvaloper1k9a0cs97vul8w2vwknlfmpez6prv8klv03lv3d,cosmos1k9a0cs97vul8w2vwknlfmpez6prv8klv29tea7,,169128789095,178048080038,0.9499051552,10562840
Castlenode,,,cosmosvaloper1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z52uzay,cosmos1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z37gh3h,VOTE_NIL,168820301759,168820301759,1,10562840
